api_name,description,input_params,output_params,begin_line_number,end_line_number,line_count,source,return_type,query_type
stock_zt_pool_strong_em,东方财富网-行情中心-涨停板行情-强势股池,"[{'name': 'date', 'type': 'str', 'description': ""date='20241009'""}]","[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '涨停价', 'type': 'float64', 'description': '-'}, {'name': '成交额', 'type': 'int64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '涨速', 'type': 'float64', 'description': '注意单位: %'}, {'name': '是否新高', 'type': 'object', 'description': '-'}, {'name': '量比', 'type': 'float64', 'description': '-'}, {'name': '涨停统计', 'type': 'object', 'description': '-'}, {'name': '入选理由', 'type': 'object', 'description': '-'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",23514,23577,63,东方财富,DataFrame,批量查询
stock_zt_pool_sub_new_em,东方财富网-行情中心-涨停板行情-次新股池,"[{'name': 'date', 'type': 'str', 'description': ""date='20241231'""}]","[{'name': '序号', 'type': 'int32', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '涨停价', 'type': 'float64', 'description': '-'}, {'name': '成交额', 'type': 'int64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '转手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '开板几日', 'type': 'int64', 'description': '-'}, {'name': '开板日期', 'type': 'int64', 'description': '-'}, {'name': '上市日期', 'type': 'int64', 'description': '-'}, {'name': '是否新高', 'type': 'int64', 'description': '-'}, {'name': '涨停统计', 'type': 'object', 'description': '-'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",23578,23641,63,东方财富,DataFrame,批量查询
stock_zt_pool_zbgc_em,东方财富网-行情中心-涨停板行情-炸板股池,"[{'name': 'date', 'type': 'str', 'description': ""date='20241011'""}]","[{'name': '序号', 'type': 'int32', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '涨停价', 'type': 'float64', 'description': '-'}, {'name': '成交额', 'type': 'int64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '涨速', 'type': 'int64', 'description': '-'}, {'name': '首次封板时间', 'type': 'object', 'description': '注意格式: 09:25:00'}, {'name': '炸板次数', 'type': 'int64', 'description': '-'}, {'name': '涨停统计', 'type': 'int64', 'description': '-'}, {'name': '振幅', 'type': 'object', 'description': '-'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",23642,23710,68,东方财富,DataFrame,批量查询
stock_zt_pool_dtgc_em,东方财富网-行情中心-涨停板行情-跌停股池,"[{'name': 'date', 'type': 'str', 'description': ""date='20241011'""}]","[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '成交额', 'type': 'int64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '动态市盈率', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '封单资金', 'type': 'int64', 'description': '-'}, {'name': '最后封板时间', 'type': 'object', 'description': '注意格式: 09:25:00'}, {'name': '板上成交额', 'type': 'int64', 'description': '-'}, {'name': '连续跌停', 'type': 'int64', 'description': '-'}, {'name': '开板次数', 'type': 'int64', 'description': '-'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",23711,23795,84,东方财富,DataFrame,批量查询
stock_market_activity_legu,乐咕乐股网-赚钱效应分析数据,[],"[{'name': 'item', 'type': 'object', 'description': '-'}, {'name': 'value', 'type': 'object', 'description': '-'}]",23796,24502,706,乐咕乐股,DataFrame,批量查询
stock_rank_cxfl_ths,同花顺-数据中心-技术选股-持续放量,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '成交量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '基准日成交量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '放量天数', 'type': 'int64', 'description': '-'}, {'name': '阶段涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",24503,24560,57,同花顺,DataFrame,批量查询
stock_rank_cxsl_ths,同花顺-数据中心-技术选股-持续缩量,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '成交量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '基准日成交量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '缩量天数', 'type': 'int64', 'description': '-'}, {'name': '阶段涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",24561,24618,57,同花顺,DataFrame,批量查询
stock_rank_xstp_ths,同花顺-数据中心-技术选股-向上突破,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""500日均线""; choice of {""5日均线"", ""10日均线"", ""20日均线"", ""30日均线"", ""60日均线"", ""90日均线"", ""250日均线"", ""500日均线""}'}]","[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '最新价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '成交额', 'type': 'object', 'description': '注意单位: 元'}, {'name': '成交量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}]",24619,24674,55,同花顺,DataFrame,单个查询
stock_rank_xxtp_ths,同花顺-数据中心-技术选股-向下突破,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""500日均线""; choice of {""5日均线"", ""10日均线"", ""20日均线"", ""30日均线"", ""60日均线"", ""90日均线"", ""250日均线"", ""500日均线""}'}]","[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '最新价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '成交额', 'type': 'object', 'description': '注意单位: 元'}, {'name': '成交量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}]",24675,24730,55,同花顺,DataFrame,单个查询
stock_rank_ljqs_ths,同花顺-数据中心-技术选股-量价齐升,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '最新价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '量价齐升天数', 'type': 'int64', 'description': '-'}, {'name': '阶段涨幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '累计换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",24731,24786,55,同花顺,DataFrame,批量查询
stock_rank_ljqd_ths,同花顺-数据中心-技术选股-量价齐跌,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '最新价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '量价齐跌天数', 'type': 'int64', 'description': '-'}, {'name': '阶段涨幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '累计换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",24787,24842,55,同花顺,DataFrame,批量查询
stock_rank_xzjp_ths,同花顺-数据中心-技术选股-险资举牌,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '举牌公告日', 'type': 'object', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票简称', 'type': 'object', 'description': '-'}, {'name': '现价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '举牌方', 'type': 'object', 'description': '-'}, {'name': '增持数量', 'type': 'object', 'description': '注意单位: 股'}, {'name': '交易均价', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '增持数量占总股本比例', 'type': 'float64', 'description': '注意单位: %'}, {'name': '变动后持股总数', 'type': 'object', 'description': '注意单位: 股'}, {'name': '变动后持股比例', 'type': 'float64', 'description': '注意单位: %'}]",24843,24938,95,同花顺,DataFrame,批量查询
